Category,Scenario,How Human Agent Handling,AI Info available (Yes/No),AI Resolution (Yes/No),How will AI resolve,Suggested AI Actions,Questions for Invygo
Inventory (Condition),Customer worries about ""Used"" car condition,"Explained these are Rent-to-Own returns, not abused rental cars. Verified mileage (General/Transcript 6).",Yes,Yes,"Define Used Cars: 'Certified, not heavily worn, Rent-to-Own returns'. Mention Mileage range (20k-50k).",None (Standard Conversation)," "
Policy (Location),Customer in remote city (e.g. Madinah) wants Rent-to-Own,"Explained no delivery for Rent-to-Own; customer must come to Riyadh/Jeddah hub (Transcript 5).",Yes,Yes,"Explain Policy: Rent-to-Own requires pickup at main hubs. No delivery available.",Confirm list of 'Pickup Only' cities for Knowledgebase.,"Is 'No Delivery' absolute for all cities outside hubs?"
Policy (Proxy),Customer asks if friend can pick up car,"Refused. Stated strict policy: Contract holder must pick up personally (Transcript 5).",Yes,Yes,"State strict rule: No Power of Attorney/Proxy. ID must match Pickup Person.",None (Standard Conversation)," "
Account & Profile,Customer wants to change Name/Phone on account,"Explained that profile name must match License/ID. Directed user to fix profile (Transcript 17).",No,No,"Explain that Name/Phone must match ID. Direct user to App Support or Settings to change it.","Suggested Integration: Deep link to 'Profile Settings' in App.","Since we lack database access, should all account-related issues be transferred to support?"
Account & Payment,Money deducted but booking failed (Refund),"Assurred customer refund is automatic/coming. Offered to escalate if delayed (Transcript 8).",No,No,"Empathize. Explain refund policy (usually same day). If stuck, direct to Support.","Recommended Action: Create 'Escalation Ticket' API for agent.","What are the specific refund policies? How should the agent handle 'Unknown Scenarios' (errors/deductions)?"
Payment (Balloon),Customer asks about Final (Balloon) Payment,"Explained options: Pay in full, or restructure into installments (Transcript 12, 14).",Yes,Yes,"Explain Restructuring: Split final payment into 3 months or spread over contract (Knowledgebase).",Standardize the 'Restructure Rule' in Knowledgebase.,"What is the official rule for splitting balloon payment (3 vs 24 months)?"
Policy (Requirements),Customer asks about Age/Requirements,"Stated rules: ID/License valid, Age 25-59, no service suspension (Transcript 7).",Yes,Yes,"Validate Requirements: Age 25+, Valid License, No active violations.",None (Standard Conversation),"Is the 25–59 age limit strict, or are drivers aged 23–24 allowed with higher insurance premiums?"
Payment (Fees),Customer asks about price changes/hidden fees,"Explained breakdown: Base Price vs Final Price (includes VAT, Insurance, Maintenance) (Transcript 5).",Yes,Yes,"Clarify 'All-Inclusive' pricing: Base Rent + VAT + Insurance + Maintenance = Final Price.",None (Standard Conversation)," "
App Issue,Customer Login/Account Access trouble,"Verified phone number. Attempted to troubleshoot profile (Transcript 10).",No,No,"Basic troubleshooting (check number). If failed, redirect to App Support/Ticket.","Recommended Action: Setup 'Warm Transfer' to Human Support.","Should account issues be transferred to support immediately?"
Inventory (Inspection),Customer wants to see car before paying,"Allowed it. Said they can visit the dealer location listed in app (Transcript 15).",Yes,Yes,"Explain: 'Digital-first, but you can visit the dealer listed in App to inspect stock'.",None (Standard Conversation),"Can we officially encourage physical inspection before booking?"
