country,city,brand_name,car_name_fixed,manufacturing_year,trim,color,starter_fee,Monthly Fees  (excluding Platform Fees SAR ~50),car_condition,Availability,seating_capacity,best_for,body_type
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Kia,Pegas,"2,023",LX,Blue,"1,925","1,750",USED,Available,5,Budget City Driving,Sedan
KSA,Jeddah,Kia,Sonet,"2,023",LX,White,"2,800","2,475",USED,Available,5,Urban Driving,Compact SUV
KSA,Riyadh,Geely,Emgrand,"2,024",GS,White,"2,525","2,250",USED,Available,5,Value / Family,Sedan
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,White,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,Silver,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,MG,RX5,"2,023",STD,Black,"3,300","3,000",USED,Available,5,Family Trips,SUV
KSA,Riyadh,Kia,Pegas,"2,024",LX,Blue,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Jeddah,Kia,Pegas,"2,023",LX,Red,"1,925","1,750",USED,Available,5,Budget City Driving,Sedan
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Jeddah,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Faw,T77,"2,023",Premium,Black,"3,600","3,250",USED,Available,5,Style / Family,SUV
KSA,Jeddah,Kia,Pegas,"2,023",LX,Red,"1,925","1,750",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Jeddah,Nissan,X-Trail,"2,024",STD,Gray,"4,000","3,625",USED,Available,5 or 7,Adventure / Family,SUV
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Kia,Pegas,"2,023",LX,Blue,"1,925","1,750",USED,Available,5,Budget City Driving,Sedan
KSA,Jeddah,Kia,Pegas,"2,023",LX,White,"1,925","1,750",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Silver,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Suzuki,Dzire,"2,024",GL,Silver,"1,825","1,650",USED,Available,5,Rideshare / City,Sedan
KSA,Riyadh,Kia,Pegas,"2,024",LX,White,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Jeddah,Kia,Pegas,"2,023",LX,White,"1,925","1,750",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Gray,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Kia,Pegas,"2,024",LX,Blue,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Black,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Jeddah,Geely,Emgrand,"2,024",GS,White,"2,525","2,250",USED,Available,5,Value / Family,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Changan,Eado,"2,023",Trend,Red,"2,325","2,125",USED,Available,5,Style / Family,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Creta,"2,023",Smart,Blue,"3,250","2,950",USED,Available,5,Small Families,Crossover / SUV
KSA,Jeddah,Hyundai,i10,"2,024",Fleet,White,"2,025","1,825",USED,Available,5,City Runabout,Hatchback
KSA,Jeddah,Toyota,Corolla,"2,023",XLI,White,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Jeddah,Kia,Sonet,"2,023",LX,Silver,"2,800","2,475",USED,Available,5,Urban Driving,Compact SUV
KSA,Riyadh,Kia,Pegas,"2,024",LX,White,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Gray,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,White,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Haval,Jolion,"2,023",Basic,White,"3,325","3,025",USED,Available,5,Tech / Family,SUV
KSA,Riyadh,Kia,Sonet,"2,023",LX,Gray,"2,800","2,475",USED,Available,5,Urban Driving,Compact SUV
KSA,Riyadh,Kia,Pegas,"2,024",LX,White,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Peugeot,2008,"2,023",Allure,Gray,"3,875","3,500",USED,Available,5,Style / Urban,Compact SUV
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,White,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Peugeot,2008,"2,023",Allure,Orange,"3,875","3,500",USED,Available,5,Style / Urban,Compact SUV
KSA,Riyadh,Hyundai,Creta,"2,023",Smart,Gray,"3,250","2,950",USED,Available,5,Small Families,Crossover / SUV
KSA,Riyadh,Nissan,X-Trail,"2,024",STD,Black,"4,000","3,625",USED,Available,5 or 7,Adventure / Family,SUV
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Faw,T77,"2,023",Premium,Yellow,"3,600","3,250",USED,Available,5,Style / Family,SUV
KSA,Riyadh,MG,5,"2,023",Deluxe,White,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Red,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Red,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Faw,T77,"2,023",Premium,Blue,"3,600","3,250",USED,Available,5,Style / Family,SUV
KSA,Riyadh,MG,5,"2,023",Deluxe,Black,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,White,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,Silver,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,i10,"2,024",Fleet,White,"2,025","1,825",USED,Available,5,City Runabout,Hatchback
KSA,Riyadh,Faw,T77,"2,023",Premium,Blue,"3,600","3,250",USED,Available,5,Style / Family,SUV
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Nissan,X-Trail,"2,024",STD,Black,"4,000","3,625",USED,Available,5 or 7,Adventure / Family,SUV
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Jeddah,GAC,GS3,"2,024",GE,Gray,"2,700","2,450",USED,Available,5,Urban / Family,Compact SUV
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Toyota,Corolla,"2,023",XLI,White,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Hyundai,i10,"2,024",Fleet,White,"2,025","1,825",USED,Available,5,City Runabout,Hatchback
KSA,Jeddah,Faw,T77,"2,023",Premium,Blue,"3,600","3,250",USED,Available,5,Style / Family,SUV
KSA,Jeddah,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Hyundai,Elantra,"2,024",Fleet,Gray,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,MG,5,"2,023",Deluxe,Red,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Geely,Emgrand,"2,024",GS,Gray,"2,525","2,250",USED,Available,5,Value / Family,Sedan
KSA,Riyadh,Kia,Seltos,"2,023",LX,Gray,"3,300","2,975",USED,Available,5,Urban Adventure,Compact SUV
KSA,Riyadh,Kia,Cerato,"2,023",LX,Gray,"2,875","2,600",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Creta,"2,023",Smart,White,"3,250","2,950",USED,Available,5,Small Families,Crossover / SUV
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,White,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Geely,Emgrand,"2,024",GS,White,"2,525","2,250",USED,Available,5,Value / Family,Sedan
KSA,Riyadh,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Kia,Pegas,"2,024",LX,White,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Kia,Sonet,"2,023",LX,Silver,"2,800","2,475",USED,Available,5,Urban Driving,Compact SUV
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Kia,Pegas,"2,024",LX,White,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Kia,Sonet,"2,023",LX,Red,"2,800","2,475",USED,Available,5,Urban Driving,Compact SUV
KSA,Riyadh,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Red,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,MG,ZS,"2,025",STD,Gray,"2,425","2,200",USED,Available,5,Urban Crossover,Compact SUV
KSA,Riyadh,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Red,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Haval,Jolion,"2,023",Basic,White,"3,325","3,025",USED,Available,5,Tech / Family,SUV
KSA,Jeddah,Peugeot,2008,"2,023",Allure,Black,"3,875","3,500",USED,Available,5,Style / Urban,Compact SUV
KSA,Riyadh,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Kia,Pegas,"2,024",LX,Blue,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Changan,Alsvin,"2,025",Trend,White,"2,000","1,825",NEW,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Kia,Pegas,"2,024",LX,Blue,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,Gray,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Kia,Cerato,"2,023",LX,White,"2,875","2,600",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Red,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Geely,Emgrand,"2,024",GS,Gray,"2,525","2,250",USED,Available,5,Value / Family,Sedan
KSA,Riyadh,Faw,T77,"2,023",Premium,Yellow,"3,600","3,250",USED,Available,5,Style / Family,SUV
KSA,Riyadh,MG,ZS,"2,025",STD,Gray,"2,425","2,200",USED,Available,5,Urban Crossover,Compact SUV
KSA,Riyadh,MG,5,"2,025",STD,Silver,"2,325","2,100",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,MG,5,"2,025",STD,Black,"2,325","2,100",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,026",Fleet,Gray,"3,200","2,900",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,Gray,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Jeddah,Kia,Sonet,"2,023",LX,Gray,"2,800","2,475",USED,Available,5,Urban Driving,Compact SUV
KSA,Jeddah,Hyundai,Elantra,"2,026",Fleet,Gray,"3,200","2,900",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Nissan,X-Trail,"2,024",STD,Black,"4,000","3,625",USED,Available,5 or 7,Adventure / Family,SUV
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,White,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Peugeot,2008,"2,023",Allure,Red,"3,875","3,500",USED,Available,5,Style / Urban,Compact SUV
KSA,Riyadh,Jetour,X70,"2,024",Comfort,Gray,"3,775","3,400",NEW,Available,7,Large Families,SUV
KSA,Riyadh,Kia,Cerato,"2,023",LX,Gray,"2,875","2,600",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,Silver,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Accent,"2,026",Fleet,Gray,"2,650","2,400",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,026",Fleet,Gray,"2,650","2,400",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Nissan,X-Trail,"2,024",STD,Black,"4,000","3,625",USED,Available,5 or 7,Adventure / Family,SUV
KSA,Riyadh,MG,ZS,"2,025",STD,Silver,"2,425","2,200",USED,Available,5,Urban Crossover,Compact SUV
KSA,Riyadh,MG,5,"2,025",STD,Silver,"2,325","2,100",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Hyundai,Accent,"2,026",Fleet,Gray,"2,650","2,400",USED,Available,5,Daily Commute,Sedan
KSA,Jeddah,Kia,K3,"2,025",STD,White,"2,650","2,400",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Hyundai,Elantra,"2,026",Fleet,Gray,"3,200","2,900",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Haval,Jolion,"2,026",Basic,Gray,"3,400","2,700",NEW,Available,5,Tech / Family,SUV
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,Gray,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Kia,Cerato,"2,023",LX,White,"2,875","2,600",USED,Available,5,Family Comfort,Sedan
KSA,Jeddah,Peugeot,2008,"2,023",Allure,Gray,"3,875","3,500",USED,Available,5,Style / Urban,Compact SUV
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Kia,K3,"2,025",STD,Gray,"2,650","2,400",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,026",Y,Gray,"2,900","2,450",NEW,Available,5,City Commuting,Sedan
KSA,Riyadh,Kia,Pegas,"2,025",LX,Gray,"2,300","2,100",NEW,Available,5,Budget City Driving,Sedan
KSA,Jeddah,MG,5,"2,025",STD,Red,"2,575","2,050",NEW,Available,5,Daily Commute,Sedan
KSA,Riyadh,MG,5,"2,025",STD,Black,"2,575","2,050",NEW,Available,5,Daily Commute,Sedan
KSA,Riyadh,Haval,Jolion,"2,026",Basic,Blue,"3,400","2,700",NEW,Available,5,Tech / Family,SUV
