brand_name_fixed,car_name_fixed,Tier,city,showroom_name,manufacturing_year,trim,body_type,color,product,invygo_baseprice,starter_fee,sto_contract_length,car_condition,Make Model
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Silver,STO,"2,925","1,700",36,NEW,Hyundai Elantra
Geely,Cityray,Midsize SUV,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,White,STO,"2,850","1,800",36,NEW,Geely Cityray
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","1,700",36,NEW,Hyundai Elantra
Haval,Jolion,Entry level SUV,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Black,STO,"2,650","1,400",36,NEW,Haval Jolion
Toyota,Raize,Entry level SUV,Jeddah,Jeddah Sakr Qoraish,"2,026",XLE,SUV,Silver,STS,970,,,NEW,Toyota Raize
Kia,Sonet,Entry level SUV,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,Gray,MONTHLY,"2,649","2,800",,USED,Kia Sonet
Kia,Pegas,Entry level Sedan,Dammam,Dammam - Al Itisalat,"2,023",LX,Sedan,Grey,MONTHLY,"2,029",,,NEW,Kia Pegas
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,500","2,875",24,USED,Hyundai Elantra
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Cadillac,Escalade,Luxury SUV,Riyadh,Riyadh - Rahmaniyyah,"2,025",Full,SUV,Black,MONTHLY,"48,449",,,NEW,Cadillac Escalade
MG,GT,Entry level Sedan,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,MG GT
Honda,City,Entry level Sedan,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,White,STS,750,,,NEW,Honda City
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Fleet,Sedan,White,STO,"2,100","2,425",30,USED,Hyundai Accent
Fiat,500,Subcompact Hatchback,Riyadh,Riyadh - Al Rawdah,"2,023",STD,Hatchback,Blue,MONTHLY,"4,769",,,NEW,Fiat 500
Toyota,Yaris,Entry level Sedan,Jeddah,Dammam - Al Itisalat,"2,026",Y,Sedan,White,MONTHLY,"2,329",,,NEW,Toyota Yaris
MG,RX5,Midsize SUV,Riyadh,Riyadh - Al Rawdah,"2,022",STD,SUV,Silver,MONTHLY,"2,699",,,NEW,MG RX5
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,Silver,STO,"2,500","1,200",36,NEW,Hyundai Accent
Hyundai,i10,Entry level Sedan,Riyadh,Riyadh - Urubah,"2,024",MPI,Sedan,White,STS,600,,,NEW,Hyundai i10
Geely,Cityray,Midsize SUV,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,Silver,STO,"2,850","1,800",36,NEW,Geely Cityray
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","1,700",36,NEW,Hyundai Elantra
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","1,700",36,NEW,Hyundai Elantra
Geely,Cityray,Midsize SUV,Riyadh,Riyadh - Al Quds - Pickup,"2,026",GC,SUV,White,STO,"2,850","1,800",36,NEW,Geely Cityray
Hyundai,Elantra,Midsize Sedan,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","3,200",36,NEW,Hyundai Elantra
Haval,Jolion,Entry level SUV,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Black,STO,"2,650","1,400",36,NEW,Haval Jolion
GAC,GS3,Entry level SUV,Riyadh,Riyadh - Al Quds - Pickup,"2,026",GS,SUV,Black,STO,"2,400","2,800",36,NEW,GAC GS3
Toyota,Urban Cruiser,Entry level SUV,Riyadh,Riyadh - Ar Rimal,"2,026",STD,Crossover,White,STS,970,,,NEW,Toyota Urban Cruiser
Toyota,Yaris,Entry level Sedan,Jeddah,Jeddah - Bani Malik,"2,022",Y,Sedan,White,MONTHLY,"2,439",,,NEW,Toyota Yaris
Lexus,LS 500,Luxury Sedan,Riyadh,Riyadh - Dhahrat Laban,"2,024",STD,Sedan,Black,MONTHLY,"42,569",,,NEW,Lexus LS 500
Mercedes,S450,Luxury Sedan,Riyadh,Riyadh - Dhahrat Laban,"2,024",STD,Sedan,Black,MONTHLY,"45,969",,,NEW,Mercedes S450
Kia,Pegas,Entry level Sedan,Riyadh,Riyadh - Al Yarmuk,"2,026",STD,Sedan,Grey,STS,600,,,NEW,Kia Pegas
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
MG,GT,Entry level Sedan,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,MG GT
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Nissan,Sunny,Entry level Sedan,Riyadh,Riyadh - Al Khaleej,"2,023",STD,Sedan,Grey,STS,699,,,NEW,Nissan Sunny
Suzuki,Dzire,Entry level Sedan,Jeddah,Jeddah - Al Salama,"2,024",GL,Sedan,Silver,STS,600,,,NEW,Suzuki Dzire
Changan,Alsvin,Entry level Sedan,Riyadh,Riyadh - Al Quds,"2,024",STD,Sedan,White,MONTHLY,"1,759",,,NEW,Changan Alsvin
Changan,Alsvin,Entry level Sedan,Riyadh,Riyadh - Al Quds,"2,024",STD,Sedan,White,MONTHLY,"1,729",,,NEW,Changan Alsvin
Geely,Emgrand,Entry level Sedan,Riyadh,Riyadh - Al Aqiq,"2,026",STD,Sedan,White,MONTHLY,"2,629",,,NEW,Geely Emgrand
Hyundai,Creta,Entry level SUV,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,SUV,Silver,STO,"2,825","3,100",36,NEW,Hyundai Creta
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - Ar Rimal - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Toyota Yaris
Kia,Pegas,Entry level Sedan,Jeddah,Jeddah - Ar Rawdah,"2,024",LX,Sedan,Grey,MONTHLY,"1,779",,,NEW,Kia Pegas
Kia,Pegas,Entry level Sedan,Riyadh,Ritadh - Al Areed,"2,026",LX,Sedan,White,STS,680,,,NEW,Kia Pegas
Suzuki,Dzire,Entry level Sedan,Riyadh,فرع القدس - Al-Quds  branch,"2,024",GL,Sedan,White,MONTHLY,"1,809",,,NEW,Suzuki Dzire
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,White,STO,"2,350","1,400",36,NEW,Hyundai Accent
Hyundai,Elantra,Midsize Sedan,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","1,700",36,NEW,Hyundai Elantra
Hyundai,Kona,Entry level SUV,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Crossover,Blue,STO,"3,000","1,800",36,NEW,Hyundai Kona
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,025",Fleet,Sedan,White,STO,"2,400","2,700",36,USED,Hyundai Accent
Kia,Pegas,Entry level Sedan,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,025",LX,Sedan,White,STO,"2,000","2,200",36,USED,Kia Pegas
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Ar Rimal - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,900","3,250",24,USED,Hyundai Elantra
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Land Rover,Defender,Luxury SUV,Riyadh,Riyadh - Rahmaniyyah,"2,025",STD,SUV,Grey,MONTHLY,"38,049",,,NEW,Land Rover Defender
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Changan,Alsvin,Entry level Sedan,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Sedan,White,MONTHLY,"2,079",,,NEW,Changan Alsvin
Toyota,Raize,Entry level SUV,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",XLE,SUV,White,STO,"2,300","2,650",36,NEW,Toyota Raize
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - As Sulimaniyah,"2,024",Fleet,Sedan,Grey,MONTHLY,"2,909",,,NEW,Hyundai Elantra
MG,5,Entry level Sedan,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,White,STO,"1,975","2,300",36,NEW,MG 5
MG,5,Entry level Sedan,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,MG 5
MG,5,Entry level Sedan,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,MG 5
Hyundai,Creta,Entry level SUV,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,SUV,Silver,STO,"2,825","3,100",36,NEW,Hyundai Creta
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,Silver,STO,"2,500","1,200",36,NEW,Hyundai Accent
Suzuki,Dzire,Entry level Sedan,Riyadh,Riyadh - Al jazirah,"2,026",GL,Sedan,White,STS,770,,,NEW,Suzuki Dzire
GAC,GS3,Entry level SUV,Dammam,Dammam - Al Badiyah - Pickup,"2,026",GS,SUV,Silver,STO,"2,400","2,800",36,NEW,GAC GS3
Hyundai,Elantra,Midsize Sedan,Mecca,Makkah - Al Diyafah,"2,024",Fleet,Sedan,White,MONTHLY,"2,449",,,USED,Hyundai Elantra
Suzuki,Dzire,Entry level Sedan,Riyadh,Riyadh - Al Yarmuk,"2,024",GL,Sedan,White,STS,679,,,NEW,Suzuki Dzire
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Toyota Yaris
Honda,City,Entry level Sedan,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,White,STS,750,,,NEW,Honda City
Toyota,Raize,Entry level SUV,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",XLE,SUV,Silver,STO,"2,300","2,650",36,NEW,Toyota Raize
Chevrolet,Captiva,Entry level SUV,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",LS,SUV,Black,STO,"3,200","2,350",24,NEW,Chevrolet Captiva
Toyota,Yaris,Entry level Sedan,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Geely,Emgrand,Entry level Sedan,Riyadh,Riyadh - Khorreiss Road - Pickup,"2,026",STD,Sedan,White,STO,"2,200","2,400",36,NEW,Geely Emgrand
Hyundai,Accent,Entry level Sedan,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - Al Rawdah,"2,025",Fleet,Sedan,Brown,STS,"1,399",,,NEW,Hyundai Accent
Toyota,Yaris,Entry level Sedan,Jeddah,Jeddah - Ar Rawdah,"2,023",Y,Sedan,White,MONTHLY,"2,439",,,NEW,Toyota Yaris
MG,5,Entry level Sedan,Riyadh,Riyadh - Khorreiss Road - Pickup,"2,025",STD,Sedan,White,STO,"1,700","1,950",30,USED,MG 5
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Fleet,Sedan,White,MONTHLY,"2,409",,,NEW,Hyundai Accent
MG,GT,Entry level Sedan,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,MG GT
MG,GT,Entry level Sedan,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,MG GT
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Changan,Eado,Midsize Sedan,Riyadh,Daily Riyadh - Al Aqiq,"2,022",Plus,Sedan,Black,STS,"1,060",,,NEW,Changan Eado
Toyota,Raize,Entry level SUV,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",XLE,SUV,Silver,STO,"2,300","2,650",36,NEW,Toyota Raize
MG,5,Entry level Sedan,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,White,STO,"1,975","2,300",36,NEW,MG 5
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - Palestine,"2,025",Fleet,Sedan,White,MONTHLY,"2,459",,,NEW,Hyundai Accent
Hyundai,Accent,Entry level Sedan,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","1,700",36,NEW,Hyundai Elantra
Haval,Jolion,Entry level SUV,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Haval Jolion
GAC,GS3,Entry level SUV,Dammam,Dammam - Al Badiyah - Pickup,"2,026",GS,SUV,Silver,STO,"2,400","2,800",36,NEW,GAC GS3
Suzuki,Dzire,Entry level Sedan,Riyadh,فرع القدس - Al-Quds  branch,"2,023",STD,Sedan,Golden,STS,570,,,NEW,Suzuki Dzire
Toyota,Raize,Entry level SUV,Jeddah,Jeddah - Heraa,"2,023",XLE,SUV,Silver,STS,790,,,NEW,Toyota Raize
MG,5,Entry level Sedan,Dammam,Dammam - Al Itisalat,"2,022",Mid Option,Sedan,Blue,STS,"1,089",,,NEW,MG 5
Ford,Taurus,Midsize Sedan,Riyadh,Riyadh - Al Maizilah,"2,025",Ambiente,Sedan,Black,MONTHLY,"7,109",,,NEW,Ford Taurus
Suzuki,Dzire,Entry level Sedan,Riyadh,Riyadh - Al Wurud,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Suzuki Dzire
GMC,Yukon,Luxury SUV,Riyadh,Riyadh - Alawali,"2,023",STD,SUV,Black,STS,"3,880",,,NEW,GMC Yukon
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Toyota Yaris
Mercedes,S450,Luxury Sedan,Jeddah,Jeddah - Madina Al-Munawarah,"2,026",STD,Sedan,Black,STS,"13,685",,,NEW,Mercedes S450
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Kia,Pegas,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah,"2,026",STD,Sedan,Silver,STS,950,,,NEW,Kia Pegas
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah,"2,026",STD,Sedan,Silver,STS,"1,180",,,NEW,Hyundai Accent
MG,5,Entry level Sedan,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,MG 5
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - King Fahd Rd,"2,024",Smart,Sedan,Grey,MONTHLY,"2,459",,,NEW,Hyundai Accent
Toyota,Yaris,Entry level Sedan,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Toyota Yaris
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,White,STO,"2,500","1,200",36,NEW,Hyundai Accent
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - As Sahabah,"2,026",Fleet,Sedan,White,STS,870,,,NEW,Hyundai Accent
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - As Sahabah,"2,026",Fleet,Sedan,White,STS,870,,,NEW,Hyundai Accent
Suzuki,Dzire,Entry level Sedan,Riyadh,Riyadh - Al jazirah,"2,026",GL,Sedan,White,STS,770,,,NEW,Suzuki Dzire
Hyundai,Accent,Entry level Sedan,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
Geely,Cityray,Midsize SUV,Riyadh,Riyadh - Al Quds - Pickup,"2,026",GC,SUV,Gray,STO,"2,850","1,800",36,NEW,Geely Cityray
Haval,Jolion,Entry level SUV,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Basic,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Haval Jolion
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah Sakr Qoraish,"2,026",STD,Sedan,Grey,STS,860,,,NEW,Hyundai Accent
MG,5,Entry level Sedan,Jeddah,Jeddah - Bani Malik,"2,023",STD,Sedan,White,MONTHLY,"1,949",,,NEW,MG 5
Hyundai,i10,Entry level Sedan,Jeddah,Jeddah - Salamah - Pickup,"2,023",MPI,Sedan,White,MONTHLY,"1,829","1,900",,USED,Hyundai i10
Kia,Sonet,Entry level SUV,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,Silver,MONTHLY,"2,499","2,975",,USED,Kia Sonet
MG,5,Entry level Sedan,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,024",STD,Sedan,Silver,STO,"1,900","2,100",36,USED,MG 5
Suzuki,Dzire,Entry level Sedan,Riyadh,Riyadh - Qurtubah,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Suzuki Dzire
GMC,Yukon,Luxury SUV,Riyadh,Riyadh - Qurtubah,"2,023",STD,SUV,Black,STS,"3,880",,,NEW,GMC Yukon
Mercedes,S450,Luxury Sedan,Jeddah,JDH,"2,023",STD,Sedan,Black,MONTHLY,"49,659",,,NEW,Mercedes S450
MG,5,Entry level Sedan,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,024",STD,Sedan,Silver,STO,"1,900","2,100",36,USED,MG 5
Suzuki,Dzire,Entry level Sedan,Riyadh,Riyadh - Al Wurud,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Suzuki Dzire
Toyota,Yaris,Entry level Sedan,Jeddah,Jeddah - An Naseem (Pick-up),"2,026",Y,Sedan,Silver,STO,"1,950","2,250",30,USED,Toyota Yaris
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Toyota Yaris
MG,GT,Entry level Sedan,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Graphite,MONTHLY,"3,079",,,NEW,MG GT
Toyota,Veloz,Entry level SUV,Riyadh,Riyadh - An Nahdah,"2,023",STD,SUV,White,STS,"1,500",,,NEW,Toyota Veloz
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Toyota Corolla
Hyundai,Elantra,Midsize Sedan,Dammam,Dammam - Al Itisalat,"2,022",Fleet,Sedan,White,MONTHLY,"2,449",,,NEW,Hyundai Elantra
Fiat,500,Subcompact Hatchback,Dammam,Dammam - Al Itisalat,"2,024",STD,Hatchback,Black,MONTHLY,"4,389",,,NEW,Fiat 500
Nissan,Kicks,Entry level SUV,Dammam,Dammam - Al Itisalat,"2,024",S,SUV,Blue,MONTHLY,"3,079",,,NEW,Nissan Kicks
Hyundai,Creta,Entry level SUV,Riyadh,Riyadh - Al Falah,"2,022",SMART,SUV,White,STS,"1,199",,,NEW,Hyundai Creta
Toyota,Yaris,Entry level Sedan,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Toyota Yaris
Toyota,Yaris,Entry level Sedan,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - Ar Rimal - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Toyota,Raize,Entry level SUV,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,SUV,Gray,STO,"2,300","2,600",36,NEW,Toyota Raize
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","1,700",36,NEW,Hyundai Elantra
Haval,Jolion,Entry level SUV,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Haval Jolion
Chery,Arrizo 5,Entry level Sedan,Riyadh,فرع القدس - Al-Quds  branch,"2,024",STD,Sedan,White,MONTHLY,"1,779",,,NEW,Chery Arrizo 5
Kia,Seltos,Entry level SUV,Jeddah,Jeddah - Saqer Qouraish,"2,023",LX,Suv,Gray,MONTHLY,"2,549",,,USED,Kia Seltos
Hyundai,i10,Entry level Sedan,Riyadh,Riyadh - Al Quds,"2,023",MPI,Sedan,Silver,MONTHLY,"1,889",,,USED,Hyundai i10
Kia,Sonet,Entry level SUV,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,White,STO,"2,325","2,675",6,USED,Kia Sonet
Kia,Pegas,Entry level Sedan,Dammam,Dammam - Al Itisalat,"2,023",LX,Sedan,Grey,MONTHLY,"2,029",,,NEW,Kia Pegas
Suzuki,Dzire,Entry level Sedan,Riyadh,Riyadh - Al Aqiq,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Suzuki Dzire
MG,5,Entry level Sedan,Riyadh,Riyadh - Khorreiss Road - Pickup,"2,025",STD,Sedan,Silver,STO,"1,700","1,950",1,USED,MG 5
Geely,Emgrand,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",STD,Sedan,Dark Blue,STO,"2,150","2,375",36,USED,Geely Emgrand
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
MG,6,Midsize Sedan,Al Khobar,Al Khobar -  Al-Thuqbah,"2,022",Full Option,Sedan,Black,MONTHLY,"2,489",,,NEW,MG 6
